SYMBOL, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
EQUITAS, 25-Jun-2020,52.9,51.55,54.8,51.3, 54.20,54.35,53.64,15745929.0,8446.59,33342.0, 2712951, 17.23
ESCORTS, 25-Jun-2020,987.75,988.0,1036.65,978.8, 1024.00,1030.95,1010.95,3886139.0,39286.92,92464.0, 436578, 11.23
EXIDEIND, 25-Jun-2020,149.55,149.0,151.25,147.25, 150.50,150.1,149.77,5226317.0,7827.54,38900.0, 2021333, 38.68
FEDERALBNK, 25-Jun-2020,53.25,53.0,53.75,51.1, 52.30,52.2,52.27,50484809.0,26386.53,88954.0, 14112867, 27.95
GAIL, 25-Jun-2020,101.4,103.0,107.0,102.5, 103.10,103.1,104.56,51900025.0,54266.73,204721.0, 8484013, 16.35
GLENMARK, 25-Jun-2020,459.2,450.0,469.9,434.0, 460.00,458.1,457.05,17248254.0,78833.2,224821.0, 1812449, 10.51
GMRINFRA, 25-Jun-2020,20.65,20.45,20.95,20.35, 20.45,20.45,20.55,10656784.0,2189.85,29743.0, 2471029, 23.19
GODREJCP, 25-Jun-2020,671.7,671.7,687.1,669.45, 678.55,676.3,678.16,1924233.0,13049.37,34190.0, 1166264, 60.61
GODREJPROP, 25-Jun-2020,890.05,880.0,902.0,865.6, 887.90,881.85,886.55,423780.0,3757.01,19658.0, 124903, 29.47
GRASIM, 25-Jun-2020,613.65,610.95,626.55,604.05, 607.45,607.45,615.03,2089589.0,12851.5,39387.0, 378183, 18.10
HAVELLS, 25-Jun-2020,582.1,578.9,589.9,575.4, 580.70,579.4,582.55,2802811.0,16327.75,46615.0, 640256, 22.84
